sudoku-DLV
Java;Python;solver
663378176;323421696;63494656
660172544;357687296;59084544
623812096;350682112;61181952
631762176;348741632;61497344
646873344;331372288;61708288
622431744;330852096;62697472
626520064;367213312;60860928
646357760;332479744;59713792
627869440;324899584;61162752
634144000;323071744;61580544
644880384;327449088;60262912
629162240;324551680;59138304
631479552;345907456;58306816
645414912;321494272;61165824
638990080;327939328;59443968
627765504;326745856;61090560
641895168;321439488;61827328
627033344;322951680;63296000
625310208;345069568;62168576
642833664;323762944;60966912
624108800;332635392;60570624
628733440;323284480;56653568
633307392;322736384;76552704
631352832;325558272;62135552
626064384;336807424;61118464
627357440;326461952;61008640
624661248;334546432;61562112
625856768;322486528;61669120
634246144;325485056;62167040
639100672;326509312;60047872
631700992;343788800;61956608
618762496;323831296;60160000
645832960;325787648;62852096
622022912;326544384;63111424
625036544;326196224;60990208
637624064;329761024;62031360
623640064;348476672;63368192
631110656;327235584;61353728
630479616;333876224;60931072
635223552;321135872;61012736
631273728;324559872;61198848
665730816;333964288;59832832
622865664;328297984;61465344
634006016;324401920;60704512
650912000;325050112;57576704
629865472;328392704;58444288
633260544;325473536;61999360
630577152;322396928;60946944
681063424;363061760;60316928
629045248;328525312;62530560
Media;Media;Media
634858188,8;331300044,8;61338378,24
Differenza;Differenza
573519810,56;269961666,56
--------------------------------------------------------------------------------------------
3col-DLV
Java;Python;solver
1404879360;1081757696;66172416
1359952128;1094012416;60671232
1374750208;1073517824;57480960
1327440640;1070882048;60056320
1336435456;1079748864;57680384
1325916672;1107358208;83502336
1346260992;1074796544;58731776
1357914624;1103802624;59901440
1367621888;1076133888;59163648
1295552512;1091091712;59337216
1368318976;1088185600;59093248
1336719872;1107498496;60943104
1327783936;1101405440;56859648
1369059328;1072546560;62453760
1322757632;1090438144;57639936
1370808576;1075843072;58813952
1377205504;1097598976;62751232
1381671680;1099758592;63700992
1291740672;1165313792;57878528
1360365568;1085240576;59633408
1358660352;1081367296;60975360
1296395520;1090229248;58177536
1366783744;1070045696;59398400
1394082048;1104429824;58235392
1289971200;1077232640;58652416
1318496512;1084286976;61199360
1310646016;1096601344;59944448
1341749504;1066015488;59105536
1319845632;1099473152;60276480
1322756864;1076861952;59569920
1307978496;1105130752;59682048
1342843648;1081800704;60101120
1328299264;1101126400;58762240
1298697984;1072868096;59089920
1407040512;1092174848;57945600
1286989568;1085549568;68918016
1367551488;1071114752;60187904
1358136320;1110753280;58438656
1307716096;1082043648;76188928
1363513856;1089575680;58740992
1292626944;1074753792;59046912
1299592704;1106012928;61267968
1341713920;1076503040;58821376
1351537664;1099464704;55612672
1371410176;1077903616;58473728
1328072448;1077905408;60394240
1332173568;1111073536;58580224
1359490560;1080310016;60432640
1313840384;1085425408;61251328
1289385216;1078937344;60311296
Media;Media;Media
1339423088,64;1088878044,16;60604963,84
Differenza;Differenza
1278818124,8000002;1028273080,32
--------------------------------------------------------------------------------------------
3col-CLINGO
Java;Python;solver
454662144;176706816;63132160
452427776;173411584;60054272
487478016;173214976;59397376
474862848;181867776;58435072
461136384;171313152;61461760
455385344;175241984;58287360
486739968;173703168;59048448
454979584;176199680;60838400
463850752;182240768;60198912
448865792;197748480;61033216
482047232;173863936;58799360
452457216;172643840;60361984
456804864;173722112;63428352
457046784;172832512;59400704
460185088;173467648;59009792
469913856;173304576;59246848
453677568;171180544;60164096
455395072;175176192;59075840
476173568;174622464;61408000
449888000;172094464;60616704
472420096;170142720;59358208
449778432;172753920;59652608
469062400;172857856;59156992
451553024;172486400;58863104
458074624;173441536;77878528
458269696;179102208;58431232
473881600;170638848;59220736
458258432;172642304;58153728
453559552;180795392;58996480
453755904;169731328;61004288
474276608;175966720;59471872
460271872;173761536;58759936
454146048;174452224;59113216
454985984;178808320;59551488
477892096;171049984;60633856
463294208;173429760;59979008
452114688;181519104;59358720
461152256;177280256;59169024
485566720;177293824;59146240
457325824;173241344;61434880
453488640;170953216;58636288
466859776;174361088;58096640
459896320;173287680;62051072
460084736;173522944;59004416
455092736;172188928;65811968
454533376;176302848;72221696
459365376;172971008;60580352
454896384;187910400;59379200
462390272;177871104;55894528
455947264;175446272;56602880
Media;Media;Media
461523456,0;175215354,88;60380236,8
Differenza;Differenza
401143219,2;114835118,08
--------------------------------------------------------------------------------------------
sudoku-CLINGO
Java;Python;solver
518983168;202406400;62027264
504835840;200730112;59880704
506292736;205735424;57698048
512478720;210726400;57976064
513544448;201898752;62592000
505110528;204267520;72063488
503983360;202600448;60129024
506008320;202201344;59874816
514100992;204493312;59003904
502706688;201702400;58134528
500316160;201169152;62916352
506571264;208169216;58156032
516252160;202391296;60846848
505904128;205451520;60001280
504896512;204658944;61039872
499795712;201373696;61041920
519437568;204571904;57846528
499992320;218101504;59359232
501563392;201098752;58118656
503494400;205259776;62942720
518531584;215362816;60194816
508882944;205606912;58524928
501015040;222673152;67214592
493315328;205495808;63458560
518919168;225368576;60081664
497426432;206216960;55824128
499028736;197327872;57149952
508001792;208569600;61216000
495413248;205370880;82426368
504502272;204947456;61647104
498910208;199252224;58179584
517453824;201030912;59889664
503899648;204405760;55696640
500592896;204537856;59421440
483609088;201378816;59766016
528570368;203254272;60664064
498760192;201427456;59774464
501593088;214735104;58975232
491962880;205836800;61345280
501623808;202905600;65227520
500598016;203991296;63131136
557179392;208489216;59122176
562539776;201175808;58163200
526345728;199739904;59514368
493709312;198906368;61076224
502092800;202351872;59973120
531156992;209431040;61500160
522306560;201611520;58203648
498858496;209459200;59041280
493826048;200018432;60965888
Media;Media;Media
508137881,6;205197747,2;60780369,92
Differenza;Differenza
447357511,68;144417377,27999997
--------------------------------------------------------------------------------------------
